"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2017","17,656.0","17,292.0","17,929.0","17,292.0","6.37M","1.04%"
"12/18/2017","19,021.0","17,747.0","19,385.0","17,747.0","15.17M","7.73%"
"12/19/2017","19,385.0","19,112.0","19,658.0","18,839.0","9.39M","1.91%"
"12/20/2017","20,022.0","19,385.0","21,206.0","19,385.0","12.97M","3.29%"
"12/21/2017","20,114.0","20,296.0","20,660.0","19,750.0","10.97M","0.46%"
"12/22/2017","20,022.0","20,114.0","20,296.0","19,658.0","7.38M","-0.46%"
"12/25/2017","20,660.0","20,204.0","21,206.0","20,022.0","7.68M","3.19%"
"12/26/2017","21,570.0","20,933.0","21,570.0","20,660.0","8.53M","4.40%"
"12/27/2017","21,479.0","21,843.0","22,298.0","21,388.0","9.22M","-0.42%"
"12/28/2017","21,661.0","21,570.0","21,934.0","21,115.0","7.95M","0.85%"
"12/29/2017","21,479.0","21,843.0","21,934.0","21,479.0","6.63M","-0.84%"
"01/02/2018","20,933.0","21,479.0","21,843.0","20,751.0","11.88M","-2.54%"
"01/03/2018","23,026.0","20,933.0","23,026.0","20,478.0","14.97M","10.00%"
"01/04/2018","23,299.0","23,208.0","24,027.0","23,208.0","9.44M","1.19%"
"01/05/2018","23,754.0","23,299.0","24,391.0","22,753.0","11.72M","1.95%"
"01/08/2018","24,573.0","23,390.0","24,573.0","23,390.0","9.24M","3.45%"
"01/09/2018","24,846.0","24,755.0","25,210.0","24,300.0","6.45M","1.11%"
"01/10/2018","26,211.0","25,028.0","26,757.0","25,028.0","10.17M","5.49%"
"01/11/2018","25,665.0","26,393.0","26,393.0","25,301.0","8.12M","-2.08%"
"01/12/2018","24,846.0","25,938.0","26,393.0","24,755.0","12.69M","-3.19%"
"01/15/2018","25,665.0","24,846.0","25,938.0","24,664.0","6.43M","3.30%"
"01/16/2018","25,392.0","25,665.0","25,938.0","25,028.0","6.19M","-1.06%"
"01/17/2018","25,028.0","25,301.0","26,302.0","24,937.0","11.38M","-1.43%"
"01/18/2018","25,938.0","24,937.0","25,938.0","24,755.0","8.76M","3.64%"
"01/19/2018","25,665.0","25,938.0","26,211.0","25,574.0","7.64M","-1.05%"
"01/22/2018","27,212.0","25,665.0","27,303.0","25,210.0","13.35M","6.03%"
"01/23/2018","28,304.0","27,303.0","29,124.0","27,303.0","7.00M","4.01%"
"01/24/2018","28,214.0","28,396.0","29,033.0","27,668.0","7.03M","-0.32%"
"01/25/2018","28,578.0","28,304.0","29,306.0","28,214.0","11.19M","1.29%"
"01/26/2018","29,033.0","28,851.0","29,306.0","28,214.0","7.21M","1.59%"
"01/29/2018","29,124.0","29,124.0","29,943.0","28,578.0","7.40M","0.31%"
"01/30/2018","27,850.0","28,214.0","29,033.0","27,303.0","10.97M","-4.37%"
"01/31/2018","25,119.0","27,758.0","27,850.0","25,119.0","17.87M","-9.81%"
"02/01/2018","23,026.0","25,028.0","25,574.0","22,662.0","17.66M","-8.33%"
"02/02/2018","24,391.0","23,117.0","24,391.0","23,117.0","6.00M","5.93%"
