Date,Price,Open,High,Low,Volume,%Change
28/04/2023,"31,400.00","31,300.00","31,900.00","31,300.00",321.71K,-0.63%
27/04/2023,"31,600.00","31,400.00","31,900.00","31,400.00",292.75K,0.64%
26/04/2023,"31,400.00","31,000.00","31,500.00","30,700.00",372.70K,0.96%
25/04/2023,"31,100.00","32,000.00","32,000.00","31,000.00",550.28K,-2.20%
24/04/2023,"31,800.00","31,500.00","32,400.00","31,300.00",371.52K,0.95%
21/04/2023,"31,500.00","33,000.00","33,000.00","29,700.00",1.38M,-4.26%
20/04/2023,"32,900.00","33,400.00","34,000.00","32,900.00",549.60K,-2.66%
19/04/2023,"33,800.00","34,600.00","34,800.00","33,700.00",620.69K,-1.74%
18/04/2023,"34,400.00","33,000.00","34,800.00","32,500.00",1.82M,4.88%
17/04/2023,"32,800.00","32,200.00","32,800.00","32,000.00",405.67K,1.86%
14/04/2023,"32,200.00","32,100.00","32,700.00","31,800.00",523.41K,0.31%
13/04/2023,"32,100.00","32,700.00","33,100.00","31,800.00",457.29K,-1.83%
12/4/2023,"32,700.00","33,200.00","33,300.00","32,500.00",311.45K,-0.61%
11/4/2023,"32,900.00","32,100.00","32,900.00","31,500.00",538.00K,3.13%
10/4/2023,"31,900.00","32,800.00","33,300.00","31,600.00",1.18M,-2.74%
7/4/2023,"32,800.00","33,100.00","33,500.00","32,700.00",565.77K,-0.91%
6/4/2023,"33,100.00","33,500.00","34,700.00","33,100.00",894.08K,-1.78%
5/4/2023,"33,700.00","34,000.00","34,000.00","33,100.00",1.02M,-0.59%
4/4/2023,"33,900.00","34,200.00","35,300.00","33,900.00",581.24K,-0.88%
3/4/2023,"34,200.00","33,400.00","34,400.00","33,400.00",591.99K,2.70%
31/03/2023,"33,300.00","34,300.00","34,700.00","33,200.00",1.03M,-2.92%
30/03/2023,"34,300.00","35,300.00","35,600.00","34,300.00",688.51K,-2.00%
29/03/2023,"35,000.00","34,600.00","35,300.00","34,400.00",553.15K,1.16%
28/03/2023,"34,600.00","33,400.00","35,600.00","33,400.00",1.51M,4.22%
27/03/2023,"33,200.00","33,100.00","33,800.00","32,800.00",426.83K,0.30%
24/03/2023,"33,100.00","32,700.00","33,800.00","32,700.00",681.79K,0.61%
23/03/2023,"32,900.00","32,100.00","33,400.00","31,900.00",375.48K,1.23%
22/03/2023,"32,500.00","33,200.00","33,800.00","32,500.00",821.62K,-1.52%
21/03/2023,"33,000.00","32,200.00","33,100.00","32,000.00",617.95K,2.48%
20/03/2023,"32,200.00","31,500.00","33,500.00","31,400.00",951.57K,0.94%
17/03/2023,"31,900.00","32,900.00","32,900.00","31,600.00",509.00K,-1.54%
16/03/2023,"32,400.00","33,200.00","33,300.00","32,000.00",489.61K,-3.28%
15/03/2023,"33,500.00","32,000.00","33,600.00","32,000.00",607.89K,6.35%
14/03/2023,"31,500.00","33,000.00","33,200.00","31,400.00",1.34M,-3.96%
13/03/2023,"32,800.00","33,000.00","33,800.00","32,500.00",517.79K,-1.20%
10/3/2023,"33,200.00","34,500.00","34,500.00","32,900.00",884.04K,-3.77%
9/3/2023,"34,500.00","34,100.00","34,700.00","33,900.00",492.94K,1.77%
8/3/2023,"33,900.00","33,200.00","34,000.00","32,700.00",934.47K,1.80%
7/3/2023,"33,300.00","33,100.00","33,600.00","32,600.00",683.43K,0.91%
6/3/2023,"33,000.00","31,100.00","34,000.00","31,100.00",807.08K,0.00%
3/3/2023,"33,000.00","31,700.00","34,100.00","31,400.00",1.57M,4.10%
2/3/2023,"31,700.00","32,200.00","32,800.00","31,100.00",580.16K,-0.94%
1/3/2023,"32,000.00","29,600.00","32,000.00","29,100.00",777.52K,8.11%
28/02/2023,"29,600.00","31,800.00","32,500.00","29,600.00",1.16M,-7.21%
27/02/2023,"31,900.00","32,800.00","33,000.00","31,100.00",1.02M,-2.74%
24/02/2023,"32,800.00","32,500.00","33,800.00","31,800.00",1.10M,2.50%
23/02/2023,"32,000.00","29,900.00","32,000.00","28,800.00",1.37M,6.67%
22/02/2023,"30,000.00","30,900.00","31,900.00","29,700.00",1.25M,-2.60%
21/02/2023,"30,800.00","31,300.00","32,800.00","30,800.00",973.43K,-1.60%
20/02/2023,"31,300.00","30,100.00","31,500.00","30,000.00",822.25K,3.99%
17/02/2023,"30,100.00","29,000.00","30,800.00","28,600.00",1.27M,3.79%
16/02/2023,"29,000.00","28,900.00","29,200.00","28,400.00",783.34K,2.47%
15/02/2023,"28,300.00","26,100.00","28,300.00","25,900.00",1.81M,9.69%
14/02/2023,"25,800.00","25,600.00","26,300.00","25,400.00",203.71K,0.78%
13/02/2023,"25,600.00","26,600.00","27,000.00","25,000.00",425.72K,-2.66%
10/2/2023,"26,300.00","27,000.00","27,300.00","26,100.00",346.83K,-2.59%
9/2/2023,"27,000.00","25,800.00","27,500.00","25,300.00",656.41K,5.47%
8/2/2023,"25,600.00","25,000.00","25,800.00","24,700.00",448.26K,2.40%
7/2/2023,"25,000.00","26,100.00","26,300.00","25,000.00",489.40K,-3.85%
6/2/2023,"26,000.00","26,300.00","26,600.00","25,600.00",257.24K,-0.76%
3/2/2023,"26,200.00","26,000.00","26,800.00","25,600.00",441.38K,2.34%
