Date,Price,Open,High,Low,Trading Volume,% Change
1/12/2017,"159,039.00","151,736.00","159,039.00","151,736.00",1.50M,4.98%
4/12/2017,"164,719.00","159,039.00","166,423.00","159,039.00",1.70M,3.57%
5/12/2017,"161,473.00","164,719.00","166,342.00","160,662.00",852.08K,-1.97%
6/12/2017,"158,227.00","158,227.00","159,850.00","151,898.00",1.14M,-2.01%
7/12/2017,"150,924.00","158,227.00","160,580.00","150,924.00",1.43M,-4.62%
8/12/2017,"152,628.00","150,924.00","156,767.00","150,924.00",1.01M,1.13%
11/12/2017,"154,982.00","152,628.00","157,578.00","152,628.00",1.01M,1.54%
12/12/2017,"157,822.00","156,604.00","158,146.00","154,170.00",908.42K,1.83%
13/12/2017,"158,065.00","157,822.00","158,552.00","156,199.00",783.47K,0.15%
14/12/2017,"163,096.00","158,633.00","163,096.00","158,227.00",1.00M,3.18%
15/12/2017,"159,850.00","163,096.00","163,096.00","158,227.00",2.24M,-1.99%
18/12/2017,"166,342.00","163,096.00","166,747.00","160,986.00",1.46M,4.06%
19/12/2017,"164,719.00","166,342.00","167,072.00","164,719.00",1.30M,-0.98%
20/12/2017,"163,907.00","163,096.00","166,098.00","162,284.00",664.93K,-0.49%
21/12/2017,"165,449.00","163,096.00","166,098.00","163,096.00",560.54K,0.94%
22/12/2017,"164,638.00","164,719.00","165,530.00","163,907.00",531.49K,-0.49%
25/12/2017,"162,284.00","163,988.00","164,556.00","162,122.00",452.90K,-1.43%
26/12/2017,"164,638.00","162,284.00","164,638.00","161,960.00",498.19K,1.45%
27/12/2017,"166,342.00","166,098.00","166,747.00","165,530.00",905.98K,1.03%
28/12/2017,"167,731.00","167,568.00","167,976.00","166,750.00",783.56K,0.84%
29/12/2017,"170,510.00","166,342.00","173,698.00","166,342.00",1.07M,1.66%
2/1/2018,"172,881.00","172,472.00","173,208.00","170,510.00",447.31K,1.39%
3/1/2018,"174,842.00","174,516.00","175,742.00","173,371.00",668.84K,1.13%
4/1/2018,"175,578.00","174,189.00","175,742.00","174,189.00",845.22K,0.42%
5/1/2018,"174,516.00","174,924.00","175,742.00","173,698.00",622.63K,-0.60%
8/1/2018,"171,655.00","174,107.00","174,107.00","170,429.00",809.76K,-1.64%
9/1/2018,"169,202.00","171,736.00","173,290.00","168,794.00",972.71K,-1.43%
10/1/2018,"172,472.00","167,731.00","172,472.00","167,731.00",1.08M,1.93%
11/1/2018,"171,655.00","173,290.00","173,290.00","170,919.00",953.74K,-0.47%
12/1/2018,"171,573.00","171,655.00","172,472.00","171,082.00",702.77K,-0.05%
15/01/2018,"170,429.00","170,837.00","171,246.00","170,020.00",486.19K,-0.67%
16/01/2018,"170,265.00","169,366.00","170,429.00","169,366.00",841.75K,-0.10%
17/01/2018,"164,380.00","169,202.00","170,020.00","163,481.00",1.07M,-3.46%
18/01/2018,"168,058.00","163,481.00","168,058.00","163,072.00",1.11M,2.24%
19/01/2018,"168,058.00","168,712.00","171,164.00","168,058.00",1.31M,0.00%
22/01/2018,"172,962.00","169,202.00","173,044.00","168,385.00",1.24M,2.92%
25/01/2018,"169,202.00","170,837.00","173,126.00","169,202.00",1.27M,-2.17%
26/01/2018,"173,126.00","169,284.00","173,453.00","169,284.00",806.89K,2.32%
29/01/2018,"168,794.00","173,126.00","173,290.00","168,794.00",687.88K,-2.50%
30/01/2018,"167,159.00","166,750.00","167,568.00","165,851.00",1.01M,-0.97%
31/01/2018,"166,342.00","165,442.00","169,611.00","164,380.00",1.34M,-0.49%
1/2/2018,"165,933.00","166,750.00","168,876.00","164,298.00",541.52K,-0.25%
2/2/2018,"169,202.00","164,707.00","169,202.00","164,707.00",812.81K,1.97%
5/2/2018,"166,015.00","165,524.00","167,568.00","164,870.00",605.90K,-1.88%
6/2/2018,"161,764.00","156,941.00","165,115.00","154,898.00",1.78M,-2.56%
7/2/2018,"163,726.00","166,587.00","166,587.00","163,644.00",609.20K,1.21%
8/2/2018,"161,110.00","163,481.00","163,726.00","160,538.00",281.08K,-1.60%
9/2/2018,"156,124.00","155,307.00","156,941.00","152,854.00",1.03M,-3.09%
12/2/2018,"156,941.00","154,489.00","156,941.00","154,489.00",1.16M,0.52%
13/02/2018,"158,168.00","156,941.00","159,394.00","156,941.00",649.98K,0.78%
21/02/2018,"166,096.00","161,764.00","166,096.00","158,576.00",779.87K,5.01%
22/02/2018,"164,298.00","166,096.00","166,096.00","162,745.00",539.81K,-1.08%
23/02/2018,"165,115.00","165,933.00","166,342.00","162,663.00",578.14K,0.50%
26/02/2018,"163,481.00","165,115.00","166,750.00","163,481.00",1.07M,-0.99%
27/02/2018,"163,481.00","165,115.00","165,115.00","161,846.00",548.71K,0.00%
28/02/2018,"160,211.00","162,663.00","163,154.00","160,211.00",1.06M,-2.00%
1/3/2018,"160,211.00","160,211.00","162,663.00","160,211.00",879.47K,0.00%
2/3/2018,"162,908.00","160,211.00","163,072.00","159,394.00",495.34K,1.68%
5/3/2018,"165,442.00","163,317.00","167,568.00","162,254.00",854.48K,1.56%
6/3/2018,"165,115.00","165,442.00","166,342.00","162,827.00",943.49K,-0.20%
7/3/2018,"168,467.00","164,380.00","171,655.00","164,380.00",2.38M,2.03%
8/3/2018,"170,837.00","169,202.00","171,082.00","169,202.00",710.89K,1.41%
9/3/2018,"170,020.00","170,837.00","172,145.00","170,020.00",1.23M,-0.48%
12/3/2018,"168,385.00","170,429.00","172,227.00","168,385.00",993.88K,-0.96%
13/03/2018,"171,655.00","168,385.00","172,472.00","168,385.00",1.52M,1.94%
14/03/2018,"174,107.00","171,655.00","174,924.00","171,001.00",1.36M,1.43%
15/03/2018,"171,818.00","174,107.00","174,107.00","171,491.00",747.70K,-1.31%
16/03/2018,"174,924.00","172,472.00","174,924.00","170,837.00",2.08M,1.81%
19/03/2018,"173,290.00","175,333.00","175,333.00","172,063.00",961.54K,-0.93%
20/03/2018,"170,837.00","173,290.00","173,290.00","170,837.00",821.68K,-1.42%
21/03/2018,"170,837.00","170,837.00","172,554.00","170,837.00",1.09M,0.00%
22/03/2018,"170,837.00","173,208.00","173,208.00","170,837.00",574.38K,0.00%
23/03/2018,"169,202.00","168,467.00","170,020.00","167,649.00",822.26K,-0.96%
26/03/2018,"170,429.00","169,202.00","172,063.00","168,876.00",772.20K,0.73%
