"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","10,537.7","10,477.8","10,567.6","10,417.9","7.36M","0.86%"
"12/04/2017","10,926.9","10,537.7","10,956.8","10,537.7","9.45M","3.69%"
"12/05/2017","10,477.8","10,956.8","10,956.8","10,477.8","8.19M","-4.11%"
"12/06/2017","10,447.9","10,447.9","10,627.5","10,328.1","9.81M","-0.29%"
"12/07/2017","10,837.1","10,447.9","10,837.1","10,447.9","8.30M","3.73%"
"12/08/2017","10,777.2","10,837.1","10,837.1","10,687.4","3.40M","-0.55%"
"12/11/2017","10,597.6","10,747.3","10,747.3","10,477.8","7.89M","-1.67%"
"12/12/2017","10,358.1","10,567.6","10,657.4","9,549.8","22.15M","-2.26%"
"12/13/2017","10,118.6","10,358.1","10,417.9","9,879.1","5.37M","-2.31%"
"12/14/2017","10,238.3","10,118.6","10,268.3","10,058.7","6.13M","1.18%"
"12/15/2017","10,238.3","10,238.3","10,328.1","10,148.5","3.81M","0.00%"
"12/18/2017","10,507.8","10,328.1","10,537.7","10,328.1","6.25M","2.63%"
"12/19/2017","10,417.9","10,597.6","10,597.6","10,388.0","6.64M","-0.86%"
"12/20/2017","10,417.9","10,417.9","10,597.6","10,388.0","14.05M","0.00%"
"12/21/2017","10,388.0","10,537.7","10,537.7","10,388.0","14.48M","-0.29%"
"12/22/2017","10,358.1","10,388.0","10,447.9","10,298.2","6.93M","-0.29%"
"12/25/2017","10,328.1","10,358.1","10,477.8","10,268.3","10.83M","-0.29%"
"12/26/2017","10,388.0","10,328.1","10,388.0","10,238.3","16.38M","0.58%"
"12/27/2017","10,926.9","10,388.0","10,986.7","10,388.0","22.27M","5.19%"
"12/28/2017","11,016.7","10,956.8","11,106.5","10,956.8","19.02M","0.82%"
"12/29/2017","11,046.6","11,076.6","11,226.2","10,956.8","14.92M","0.27%"
"01/02/2018","11,615.4","11,076.6","11,645.3","11,016.7","12.22M","5.15%"
"01/03/2018","11,585.5","11,615.4","11,705.2","11,375.9","16.89M","-0.26%"
"01/04/2018","11,615.4","11,585.5","11,645.3","11,495.7","21.26M","0.26%"
"01/05/2018","11,615.4","11,675.3","11,825.0","11,495.7","21.56M","0.00%"
"01/08/2018","12,004.6","11,615.4","12,004.6","11,615.4","12.96M","3.35%"
"01/09/2018","12,064.5","12,034.5","12,184.2","11,675.3","15.85M","0.50%"
"01/10/2018","11,914.8","12,124.3","12,184.2","11,795.0","15.49M","-1.24%"
"01/11/2018","11,974.7","11,914.8","11,974.7","11,675.3","16.45M","0.50%"
"01/12/2018","11,705.2","11,974.7","12,034.5","11,645.3","25.28M","-2.25%"
"01/15/2018","11,675.3","11,705.2","11,765.1","11,465.7","11.25M","-0.26%"
"01/16/2018","11,615.4","11,675.3","11,765.1","11,525.6","11.31M","-0.51%"
"01/17/2018","11,675.3","11,615.4","12,034.5","11,585.5","13.63M","0.52%"
"01/18/2018","11,825.0","11,465.7","11,825.0","11,465.7","12.47M","1.28%"
"01/19/2018","11,825.0","11,854.9","12,094.4","11,735.2","15.62M","0.00%"
"01/22/2018","12,034.5","11,825.0","12,124.3","11,825.0","15.18M","1.77%"
"01/23/2018","12,393.8","12,124.3","12,513.5","12,034.5","26.47M","2.99%"
"01/24/2018","12,304.0","12,483.6","12,663.2","12,304.0","13.83M","-0.72%"
"01/25/2018","12,513.5","12,333.9","12,782.9","12,064.5","28.16M","1.70%"
"01/26/2018","12,603.3","12,573.4","12,723.1","12,363.8","16.60M","0.72%"
"01/29/2018","12,573.4","12,573.4","12,812.9","12,543.4","16.49M","-0.24%"
"01/30/2018","12,453.6","12,543.4","12,543.4","12,333.9","13.12M","-0.95%"
"01/31/2018","12,483.6","12,453.6","12,723.1","12,423.7","21.50M","0.24%"
